SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
landsat8_oli;3;561.406500;landsat8_tirs;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;-0.00162150682208, 0.742670426915, 0.326838485649, 0.0839017142942, -0.0225634253873;-829.948937;0.000092
landsat8_oli;3;561.406500;landsat4_tm;0, 1, 2, 3;485.0, 560.0, 660.0, 830.0;0.0005704231823, 0.0216880670489, 1.1349968906, -0.161930654389, 0.00504960659863;-1399.570514;0.000001
landsat8_oli;3;561.406500;landsat4_mss;0, 1, 2;550.0, 650.0, 750.0;-0.00167893779507, 1.00508289135, -0.00659602339932, 0.0392285237721;-1164.878307;0.000006
landsat8_oli;3;561.406500;meris;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;412.433615778, 442.302283223, 489.626577523, 509.564329959, 559.440262161, 619.349162711, 664.322430724, 680.571670334, 708.080139841, 753.123045597, 760.007913967, 778.160657513, 864.627349057, 884.697163697, 899.753104609;-2.89018603272e-06, -0.014043397265, 0.0492908473563, -0.213672671803, 0.281399637985, 0.769424749702, 0.201577853641, -0.136179840106, 0.0732238757786, -0.0110092316774, 0.000376288666337, 0.00210541913612, -0.0134765720118, 0.0610818232456, -0.107454243559, 0.0567313916801;-1815.326681;0.000000
landsat8_oli;3;561.406500;landsat7;0, 1, 2, 3;485.0, 560.0, 660.0, 835.0;0.000122476350869, -0.0667432292861, 1.11058473059, -0.0505453334553, 0.0019066624561;-1636.563049;0.000000
landsat8_oli;3;561.406500;rapideye;0, 1, 2, 3;475.0, 555.0, 657.5, 710.0;-0.000229702757807, -0.0866951914234, 1.06018234324, 0.0187203791854, 0.0030584947256;-1595.872490;0.000000
landsat8_oli;4;654.586000;sentinel3_olci;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20;400.0, 412.5, 442.5, 490.0, 510.0, 560.0, 620.0, 665.0, 673.75, 681.25, 708.75, 753.75, 761.25, 764.375, 767.5, 778.75, 865.0, 885.0, 900.0, 940.0, 1020.0;-4.52058525055e-05, -0.0194213205229, 0.0279462618584, -0.00811484232817, 0.0147918468406, -0.0362682079342, 0.0280369352975, 0.123031075291, 1.64463472808, -0.975090713498, 0.194515438009, 0.00679355455277, -0.0227415507032, 0.136061538652, -0.441800455901, 0.396104887353, -0.0917039941198, 0.29731565745, -0.409581518635, 0.137117757553, -0.0181409358667, 0.0161080507484;-1852.452770;0.000000
landsat8_oli;4;654.586000;sentinel2;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;443.929444843, 496.541069687, 560.006374949, 664.4491622, 703.886978943, 740.223452517, 782.473511978, 835.110186795, 864.80125832, 945.027529483, 1373.46188255;0.000298389216276, 0.0863908165481, -0.136438304274, 0.112583682478, 0.897181030576, 0.0695548667851, -0.0434297046138, 0.188371464552, -0.39078034493, 0.222543646871, 0.00606924464191, -0.0083647979547;-1405.293599;0.000001
landsat8_oli;4;654.586000;sentinel3_slstr;0, 1, 2, 3, 4, 5;555.0, 659.0, 865.0, 1375.0, 1610.0, 2250.0;-2.35522099691e-05, 0.0291137600426, 0.972324078316, 0.00285121624284, -0.00375780077506, 0.0058898490507, -0.00574094969863;-1495.651602;0.000000
landsat8_oli;4;654.586000;aqua;2, 3, 0, 1, 4, 5;466.07150204, 553.917076647, 645.8403499, 856.877853417, 1241.49758039, 1628.08776832;0.0003017782167, 0.031029905557, -0.0793124118985, 1.04694481819, 0.00305091860055, -0.00995269904315, 0.0107502287901;-1388.066361;0.000001
